company_id,type,rule_id,text,confidence_pct
ABB,pro,PRO_1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,100.0
ABB,pro,PRO_2,Strong free cash flow generation over 5 years signals healthy business fundamentals,100.0
ABB,pro,PRO_3,Debt-free balance sheet provides financial flexibility and eliminates interest burden,75.0
ABB,pro,PRO_6,Net profit compounding at above 20% over 5 years creates significant shareholder value,76.49
ABB,pro,PRO_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100.0
ABB,pro,PRO_9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,85.38
ABB,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,100.0
ABB,pro,PRO_12,Growing asset base funded by internal accruals reflects self-sustaining growth,85.0
ABB,pro,PRO_13,Sustained net profit margin above 10% demonstrates consistent profitability and sound business model,100.0
ABB,con,CON_3,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,75.0
ABB,con,CON_13,High PE ratio above 50x may indicate overvaluation relative to earnings,87.79
ADANIENSOL,pro,PRO_1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,100.0
ADANIENSOL,pro,PRO_3,Debt-free balance sheet provides financial flexibility and eliminates interest burden,75.0
ADANIENSOL,pro,PRO_4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,100.0
ADANIENSOL,pro,PRO_5,Operating profit margin above 25% indicates strong pricing power and cost discipline,84.39
ADANIENSOL,pro,PRO_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,75.0
ADANIENSOL,pro,PRO_9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,77.07
ADANIENSOL,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,100.0
ADANIENSOL,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,85.0
ADANIENSOL,con,CON_3,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,75.0
ADANIENSOL,con,CON_5,Revenue contraction over 2 consecutive years indicates demand weakness or market share loss,75.0
ADANIENSOL,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,77.5
ADANIENSOL,con,CON_11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,91.63
ADANIENSOL,con,CON_13,High PE ratio above 50x may indicate overvaluation relative to earnings,79.25
ADANIENT,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,74.48
